,0
0,0
1,1
2,1
3,0
4,1
5,1
6,0
7,0
8,0
9,1
10,1
11,0
12,0
13,0
14,1
15,0
16,1
17,1
18,1
19,1
20,1
21,0
22,1
23,0
24,1
25,1
26,0
27,0
28,1
29,0
30,1
31,0
32,1
33,1
34,1
35,0
36,1
37,0
38,0
39,1
40,0
41,1
42,0
43,0
44,1
45,1
46,0
47,0
48,0
49,1
50,1
51,0
52,1
53,1
54,1
55,0
56,1
57,0
58,0
59,0
60,1
61,0
62,1
63,0
64,1
65,1
66,0
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,0
79,0
80,0
81,0
82,1
83,1
84,0
85,0
86,0
87,0
88,1
89,1
90,0
91,0
92,0
93,1
94,1
95,0
96,1
97,1
98,1
99,1
100,1
101,0
102,1
103,0
104,1
105,1
106,1
107,0
108,0
109,1
110,1
111,0
112,1
113,0
114,1
115,1
116,1
117,1
118,1
119,0
120,1
121,1
122,0
123,1
124,1
125,0
126,0
127,1
128,0
129,1
130,1
131,1
132,1
133,1
134,1
135,0
136,0
137,1
138,1
139,1
140,0
141,0
142,0
143,1
144,1
145,0
146,1
147,1
148,0
149,0
150,0
151,0
152,0
153,1
154,1
155,0
156,0
157,0
158,0
159,0
160,1
161,0
162,0
163,0
164,0
165,0
166,1
167,0
168,1
169,0
170,1
171,0
172,1
173,0
174,0
175,0
176,0
177,0
178,1
179,0
180,0
181,0
182,0
183,0
184,0
185,1
186,0
187,0
188,1
189,1
190,1
191,1
192,1
193,0
194,1
195,1
196,1
197,0
198,1
199,1
200,1
201,0
202,0
203,0
204,1
205,0
206,0
207,1
208,0
209,1
210,0
211,0
212,0
213,1
214,1
215,1
216,0
217,0
218,0
219,0
220,1
221,0
222,1
223,1
224,0
225,0
226,0
227,0
228,1
229,1
230,0
231,0
232,0
233,0
234,1
235,1
236,1
237,1
238,0
239,0
240,0
241,0
242,1
243,1
244,0
245,0
246,0
247,1
248,0
249,0
250,0
251,0
252,0
253,0
254,1
255,0
256,0
257,1
258,0
259,0
260,0
261,0
262,1
263,0
264,0
265,1
266,1
267,1
268,1
269,0
270,1
271,0
272,1
273,0
274,1
275,0
276,1
277,1
278,0
279,1
280,1
281,0
282,0
283,0
284,0
285,1
286,1
287,0
288,0
289,1
290,1
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,1
299,0
300,1
301,1
302,1
303,0
304,0
305,0
306,1
307,0
308,1
309,1
310,1
311,0
312,1
313,1
314,0
315,1
316,1
317,1
318,1
319,0
320,0
321,0
322,0
323,0
324,1
325,1
326,0
327,1
328,0
329,1
330,1
331,0
332,0
333,0
334,0
335,1
336,0
337,0
338,0
339,1
340,1
341,1
342,1
343,0
344,1
345,1
346,0
347,0
348,1
349,1
350,0
351,1
352,1
353,1
354,0
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,0
365,1
366,1
367,1
368,1
369,0
370,0
371,1
372,1
373,1
374,0
375,0
376,1
377,1
378,1
379,1
380,0
381,0
382,0
383,1
384,1
385,0
386,1
387,0
388,0
389,1
390,0
391,0
392,1
393,0
394,1
395,0
396,0
397,1
398,1
399,0
400,1
401,0
402,0
403,0
404,0
405,1
406,1
407,1
408,0
409,0
410,1
411,1
412,0
413,1
414,0
415,0
416,0
417,1
418,1
419,0
420,0
421,1
422,1
423,0
424,0
425,1
426,1
427,0
428,0
429,1
430,1
431,0
432,0
433,1
434,1
435,1
436,0
437,1
438,0
439,1
440,1
441,0
442,1
443,0
444,1
445,0
446,1
447,1
448,1
449,1
450,1
451,0
452,1
453,0
454,1
455,1
456,1
457,0
458,0
459,0
460,1
461,1
462,1
463,1
464,0
465,1
466,0
467,0
468,1
469,1
470,0
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,0
479,1
480,1
481,1
482,1
483,0
484,0
485,1
486,0
487,1
488,0
489,1
490,0
491,1
492,1
493,0
494,0
495,1
496,1
497,0
498,1
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,1
507,1
508,1
509,1
510,1
511,0
512,1
513,0
514,1
515,1
516,0
517,0
518,1
519,1
520,1
521,1
522,1
523,0
524,0
525,1
526,0
527,0
528,0
529,1
530,1
531,1
532,1
533,0
534,0
535,1
536,1
537,0
538,0
539,0
540,0
541,0
542,1
543,0
544,1
545,1
546,0
547,0
548,1
549,0
550,1
551,0
552,0
553,0
554,1
555,1
556,0
557,1
558,0
559,1
560,1
561,1
562,0
563,0
564,1
565,1
566,1
567,0
568,0
569,0
570,0
571,1
572,0
573,0
574,1
575,0
576,0
577,1
578,0
579,0
580,1
581,1
582,1
583,1
584,0
585,0
586,0
587,1
588,1
589,1
590,0
591,0
592,1
593,0
594,0
595,1
596,0
597,0
598,0
599,0
600,1
601,0
602,0
603,0
604,1
605,1
606,0
607,0
608,0
609,1
610,1
611,1
612,1
613,1
614,1
615,0
616,0
617,0
618,0
619,1
620,0
621,0
622,0
623,1
624,1
625,0
626,1
627,1
628,1
629,0
630,0
631,0
632,0
633,1
634,0
635,1
636,0
637,1
638,1
639,1
640,1
641,1
642,1
643,0
644,0
645,0
646,0
647,0
648,0
649,1
650,1
651,0
652,0
653,1
654,0
655,1
656,1
657,1
658,1
659,1
660,0
661,0
662,0
663,0
664,1
665,0
666,1
667,1
668,1
669,0
670,0
671,0
672,0
673,0
674,0
675,1
676,0
677,1
678,0
679,1
680,1
681,0
682,0
683,0
684,1
685,0
686,1
687,0
688,0
689,0
690,1
691,1
692,0
693,0
694,1
695,0
696,0
697,0
698,1
699,1
700,1
701,1
702,0
703,1
704,1
705,0
706,1
707,1
708,0
709,1
710,1
711,1
712,1
713,0
714,0
715,1
716,0
717,0
718,1
719,1
720,1
721,0
722,1
723,0
724,1
725,0
726,0
727,1
728,1
729,0
730,0
731,0
732,0
733,1
734,0
735,1
736,0
737,1
738,1
739,0
740,1
741,1
742,1
743,1
744,1
745,1
746,0
747,0
748,1
749,1
750,0
751,0
752,1
753,0
754,0
755,0
756,1
757,1
758,0
759,1
760,1
761,1
762,0
763,1
764,0
765,0
766,1
767,1
768,1
769,1
770,0
771,1
772,1
773,1
774,1
775,0
776,0
777,0
778,1
779,0
780,0
781,1
782,1
783,0
784,0
785,1
786,1
787,0
788,1
789,0
790,1
791,1
792,1
793,0
794,1
795,1
796,1
797,0
798,0
799,0
800,1
801,0
802,0
803,1
804,1
805,1
806,1
807,0
808,1
809,1
810,0
811,0
812,0
813,1
814,1
815,0
816,0
817,1
818,1
819,1
820,1
821,1
822,1
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,1
831,1
832,0
833,0
834,1
835,0
836,0
837,1
838,0
839,0
840,0
841,0
842,1
843,1
844,1
845,0
846,0
847,1
848,1
849,1
850,1
851,1
852,0
853,0
854,1
855,1
856,1
857,0
858,1
859,1
860,1
861,1
862,1
863,0
864,1
865,0
866,1
867,1
868,0
869,0
870,1
871,1
872,1
873,1
874,0
875,0
876,0
877,1
878,0
879,1
880,0
881,1
882,1
883,0
884,0
885,1
886,0
887,0
888,0
889,1
890,1
891,1
892,1
893,0
894,0
895,1
896,0
897,0
898,1
899,0
900,0
901,0
902,1
903,1
904,0
905,1
906,1
907,0
908,0
909,0
910,0
911,0
912,0
913,1
914,1
915,0
916,0
917,0
918,1
919,0
920,0
921,1
922,0
923,1
924,1
925,0
926,1
927,1
928,0
929,0
930,0
931,0
932,1
933,0
934,0
935,0
936,1
937,0
938,0
939,1
940,0
941,0
942,0
943,0
944,0
945,1
946,1
947,1
948,1
949,1
950,1
951,1
952,0
953,0
954,0
955,1
956,0
957,1
958,1
959,0
960,0
961,1
962,1
963,1
964,1
965,1
966,0
967,1
968,1
969,1
970,0
971,1
972,0
973,1
974,1
975,0
976,1
977,1
978,0
979,1
980,1
981,0
982,1
983,0
984,1
985,0
986,1
987,0
988,0
989,1
990,1
991,0
992,1
993,0
994,1
995,0
996,1
997,0
998,1
999,1
1000,1
1001,0
1002,0
1003,0
1004,1
1005,1
1006,0
1007,0
1008,0
1009,1
1010,1
1011,1
1012,1
1013,0
1014,1
1015,1
1016,1
1017,1
1018,1
1019,0
1020,1
1021,1
1022,0
1023,0
1024,0
1025,0
1026,0
1027,1
1028,1
1029,1
1030,0
1031,0
1032,1
1033,1
1034,0
1035,0
1036,1
1037,0
1038,0
1039,1
1040,1
1041,0
1042,0
1043,1
1044,1
1045,0
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,1
1053,0
1054,1
1055,0
1056,1
1057,1
1058,1
1059,0
1060,1
